name,institute
Taymaz Farshi,"Ayvansaray University, Turkey"
Taymaz Farshi,"Ayvansaray University, Turkey"
Thoudam Doren Singh,"National Institute of Technology Silchar, India"
Tuhina Samanta,"Indian Institute of Engineering Science and Technology Shibpur, India"
Turgay Yalcin,"Samsun University, Turkey"
Vijay Bhaskar Semwal,"Maulana Azad National Institute of Technology, India"
Vinay Kumar,"National Institute of Technology Jamshedpur, India"
Vipindev Adat,"National Institute of Technology Kurukhetra, India"
Vishal Saraswat,"Robert Bosch Engineering and Business Solutions, India"
Vivekananda Bhat K,"Manipal Institute of Technology, India"
Weizhi Meng,"Technical Universtiy of Denmark, Denmark"
Wenjuan Li,"City University of Hong Kong, Hong Kong"
Yannis Stamatiou,"University of Patras, Greece"
Yogendra Narain Singh,"APJ Abdul Kalam Technical University, India"
Zinnet Duygu Akşehir,"Ondokuz Mayıs University, Turkey"
Zulfukar Saygi,"TOBB University of Economics and Technology, Turkey"
